episode,reward
208,-327.12610804790086
209,-303.7556657785309
210,-287.97904857224705
211,-296.39756268425765
212,-330.98038814903623
213,-308.00868754438045
214,-314.5385899649692
215,-295.1656484393162
216,-313.9152262636918
217,-295.4380468198789
218,-300.8791902065277
219,-281.7754082304883
220,-300.35593263595285
221,-292.35808792500677
222,-291.29863082803786
223,-291.8244905670864
224,-318.9712747463483
225,-257.49334379821005
226,-317.7302527741987
227,-302.9028618944568
228,-301.9260259771246
229,-314.71284653781834
230,-296.5308574808288
231,-316.2971376416964
232,-300.10574584675487
233,-303.1627911863608
234,-303.9792229773003
235,-296.65684998815414
236,-289.59099364781207
237,-310.0131737720221
238,-301.4811441458288
239,-302.0977464558083
240,-319.8573587478596
241,-288.67242716252804
242,-313.02236456179446
243,-304.34501098818066
244,-292.17335460870447
245,-290.29840975627303
246,-307.00180535949767
247,-309.5228997239602
248,-291.0080678811056
249,-312.18785532191396
250,-314.18309390114075
251,-278.7068979864699
252,-287.02654406404974
253,-290.3989429117638
254,-296.29081143415453
255,-298.3628251866895
256,-305.8379859980196
257,-311.1512237818671
258,-295.3547020293772
259,-299.1254398463053
260,-297.5802252085406
261,-296.70101602352145
262,-291.424460931099
263,-296.67223690263927
264,-295.5789781899649
265,-305.4955377224833
266,-313.71804764063484
267,-302.9866859128225
268,-286.7070513035869
269,-304.82552218192643
270,-295.6555018106002
271,-316.3621725583208
272,-297.16216634213924
273,-301.3021434651447
274,-299.5042839864028
275,-307.4366762842983
276,-299.89461831131405
277,-303.20421517582065
278,-299.58650808164305
279,-325.34441269747913
280,-305.48528304113927
281,-287.88561174075505
282,-287.6194931216305
283,-305.10891113616526
284,-316.456063344841
285,-310.55373882851484
286,-319.149225353961
287,-300.89200561656537
288,-303.3274277498705
289,-305.9196244031191
290,-298.31842963187876
291,-292.18212825001604
292,-296.51034300250467
293,-313.2277368506176
294,-296.596108937636
295,-297.96461886702957
296,-290.70548614428765
297,-270.93725499266213
298,-282.1886164447052
299,-295.43472623766786
300,-289.5506691930342
301,-280.94188244396275
302,-289.97762519307435
303,-276.15728148049595
304,-299.2397869171101
305,-308.12382680154326
306,-272.977395431487
307,-297.56217411533
308,-291.99048705620226
309,-307.58582864829725
310,-310.7097763493657
311,-289.6759125845266
312,-290.31853026652163
313,-292.37338015192574
314,-315.8266875054687
315,-303.3895762473112
316,-299.7066757561398
317,-292.2889846203608
318,-307.20588818355384
319,-272.25175738462633
320,-290.1033502405036
321,-289.0077535191077
322,-286.9418147148091
323,-264.40844060794836
324,-298.4446425115449
325,-283.6227859649807
326,-302.4201541742069
327,-282.31288620992484
328,-326.39661225059456
329,-299.7573673184961
330,-309.00880732177677
331,-308.65438841469586
332,-290.74851312150713
333,-302.0972633154589
334,-294.43282848014417
335,-317.7180384732783
336,-312.9376539619399
337,-295.563572045182
338,-301.74211138521787
339,-338.19725922995633
340,-288.3114958759397
341,-309.36513744236356
342,-294.7661613788223
343,-309.1649224550921
344,-292.2474099320817
345,-306.8006972314316
346,-308.9142258533967
347,-300.49753029830754
348,-278.74990660860124
349,-273.71491819037976
350,-281.8246511274475
351,-277.4195591059971
352,-286.25911100709266
353,-287.63536229671365
354,-306.95986722945156
355,-295.02554056211295
356,-291.59708264656365
357,-309.7773311806369
358,-281.6055741067976
359,-284.63225455768406
360,-287.52080334478444
361,-274.73466105549517
362,-284.28065228031403
363,-287.5389793217182
364,-295.01685751764956
365,-313.65237262286246
366,-276.5144986411316
367,-277.11984533048155
368,-315.9614268967408
369,-297.75597306503835
370,-295.97392221167684
371,-288.4881378909332
372,-278.8879735749215
373,-269.37228214903655
374,-285.4014258773524
375,-293.0465097151464
376,-308.1650651091469
377,-290.1545197495717
378,-294.0410195676369
379,-294.92017876391765
380,-281.95381767861545
381,-289.11365085316356
382,-290.11758000194015
383,-296.5664062406868
384,-313.5415873689336
385,-276.90662915387577
386,-290.8608040418476
387,-280.4838827647036
388,-283.74195426679137
389,-278.7939000412589
390,-275.5930637305129
391,-315.4155079200864
392,-309.48295823612636
